DNS.aa,DNS.ad,DNS.an,DNS.ancount,DNS.ar,DNS.arcount,DNS.cd,DNS.id,DNS.length,DNS.ns,DNS.nscount,DNS.opcode,DNS.qd,DNS.qdcount,DNS.qr,DNS.ra,DNS.rcode,DNS.rd,DNS.tc,DNS.z,Ether.dst,Ether.src,Ether.type,IP.chksum,IP.dst,IP.flags,IP.frag,IP.id,IP.ihl,IP.len,IP.options,IP.proto,IP.src,IP.tos,IP.ttl,IP.version,IPv4,TCP.ack,TCP.chksum,TCP.dataofs,TCP.dport,TCP.flags,TCP.options,TCP.reserved,TCP.seq,TCP.sport,TCP.urgptr,TCP.window,UDP.chksum,UDP.dport,UDP.len,UDP.sport,packet_len,timestamp
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18841,00:00:0a:00:01:02,DF,0,46656,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18841,8,5001,DF,,0,253426452,44576,0,74,,,,,9514,1742994108.294726
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18840,00:00:0a:00:01:02,DF,0,46657,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18840,8,5001,DF,,0,253435900,44576,0,74,,,,,9514,1742994108.294729
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18839,00:00:0a:00:01:02,DF,0,46658,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18839,8,5001,DF,,0,253445348,44576,0,74,,,,,9514,1742994108.294740
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18838,00:00:0a:00:01:02,DF,0,46659,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18838,8,5001,DF,,0,253454796,44576,0,74,,,,,9514,1742994108.294741
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18837,00:00:0a:00:01:02,DF,0,46660,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18837,8,5001,DF,,0,253464244,44576,0,74,,,,,9514,1742994108.294840
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18836,00:00:0a:00:01:02,DF,0,46661,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18836,8,5001,DF,,0,253473692,44576,0,74,,,,,9514,1742994108.294842
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18835,00:00:0a:00:01:02,DF,0,46662,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18835,8,5001,DF,,0,253483140,44576,0,74,,,,,9514,1742994108.294852
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18834,00:00:0a:00:01:02,DF,0,46663,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18834,8,5001,DF,,0,253492588,44576,0,74,,,,,9514,1742994108.294854
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18833,00:00:0a:00:01:02,DF,0,46664,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18833,8,5001,DF,,0,253502036,44576,0,74,,,,,9514,1742994108.345065
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18832,00:00:0a:00:01:02,DF,0,46665,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18832,8,5001,DF,,0,253511484,44576,0,74,,,,,9514,1742994108.345070
